Degree Program,Info from HS Counselor,Info from HS Teacher,Info from IT Website,Info from Admissions,Info from Advisor,Info from Employer,Info from Workforce Development,Info from NJ Workforce Program,Info from Other,Gender,Why Interested in Computing,Interest in More Classes,Open House,Instant Decision Day,On-Campus Info Session,Titans Tuesday,Women Who Dare,Regional College Fair,HS Sharetime Info Session,Challenger Program,CyberSecurity Program,HS Info Session,HS Campus Visit,Individual Campus Visit,Workforce Development Class,Corporate Training,Teen Arts Festival,Summer Camp
Mechanical Engineering,,,,,,,,,,Man,"I personally don't like it because it is very similar to learning a new language, I was placed in the class for my current major Mechanical Engineering.",2.0,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Electronics Engineering,,,,,,,,,,Prefer not to say,I like the classes and I need the credits for my degree.,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mechanical Engineering ,,,,,,,,,,Man,Technology is always growing and all the things we learn in class will be very useful in the future.,3.0,No,Not Sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CIS Game Development Option,Yes,No,No,Yes,Yes,No,No,No,Yes,Man,,,Yes,Yes,Yes,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Finance/Business ,,,,,,,,,,I do not identify,.,5.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,Yes,No,No,No,No,No,No,No,Woman,,,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Computer Science,Yes,No,Yes,Yes,Yes,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,Yes,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Challenger Program,Yes,Yes,Don't recall,No,Don't recall,Yes,No,No,Don't recall,Woman,,,No,Not Sure,Yes,No,Yes,Not Sure,No,Yes,Not Sure,No,Yes,Not Sure,No,No,Yes,Not Sure
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Information Technology,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,No,No,No,Man,,,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Non Degree seeking,,,,,,,,,,Man,"My personal interest in acquiring more SKILLS in the STEM field motivates me, certificate programs and classes I can use to strengthen my acquiring of certifications is what motivates me. Its a great thing to have on the job market nowadays. 

I would not be interested in taking computing classes that require me to be in person due to personal transportation issues",5.0,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,No,No,Yes,No,No,No,No,No,Woman,,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Computer Science,Don't recall,Don't recall,Yes,Yes,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Computer Science,Yes,Yes,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Yes,Yes,Yes,Yes,Don't recall,No,No,Don't recall,No,Woman,,,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CIS Game Development Option,Yes,Yes,No,No,No,No,No,No,Yes,Woman,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
"Technical Studies, Applied Associate of Science",No,No,No,No,No,No,No,No,Yes,Man,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Computer Science,No,No,No,No,No,No,No,No,Yes,Man,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,Yes,No,Yes,No,No,No,No,Man,,,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Changed to Business ,,,,,,,,,,Man,I am somewhat on the fence because i do want to learn more but sometimes it gets confusing ,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CIS Game Development Option,No,No,No,Yes,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,No,Yes,No,No,No,No,No,No,Man,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Mechanical Engineering Technology,,,,,,,,,,Man,"I am in Mechanical, not electronic",1.0,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Computer Science,No,No,No,No,Yes,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,Yes,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Mechanical Engineering,,,,,,,,,,Man,I would like to learn about computing,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,Don't recall,Don't recall,Yes,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
CIS Game Development Option,No,No,Yes,Yes,Yes,No,No,No,No,Man,,,Not Sure,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
CIS Game Development Option,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,No,No,Yes,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mechanical Engineering,,,,,,,,,,Man,I would like to learn about computing,4.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Computer Science,No,Don't recall,No,Yes,Yes,Don't recall,No,Don't recall,Yes,Woman,,,No,Not Sure,Yes,Yes,Not Sure,Yes,Not Sure,No,Not Sure,No,No,Yes,Not Sure,No,Not Sure,Yes
CIS Game Development Option,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Man,,,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Information Technology,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Prefer not to say,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
mechanical engineering technology,,,,,,,,,,Man,moderately interested because it depends on what i need to learn in the future when looking for a programming job.,4.0,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No
edam,,,,,,,,,,Woman,im not great at it,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Challenger Program,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,Yes,No,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,No
CIS Game Development Option,No,No,No,No,No,No,No,No,Yes,Prefer not to say,,,No,No,No,No,No,No,No,No,No,No,Not Sure,Not Sure,No,No,No,No
Share Time Engineering,,,,,,,,,,Woman,I like how with computing classes there is a right and wrong answer but still room to be creative. ,4.0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Engineering Design and Manufacturing (Time Share),,,,,,,,,,Man,I do not feel as though I need to be extremely well versed in computing for mechanical engineering but I also feel I need to know enough to be useful in making things.,3.0,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Psychology,,,,,,,,,,Woman,"It doesn't have to do with my major, but I have some friends that want to work in STEM and I thought it would be a good idea to try it out and see what it had to offer. I am completing this class for my credits, and although challenging at times, I enjoy learning about something I never would have experienced without the advice of my friends.",3.0,Yes,No,No,No,No,Yes,Not Sure,Not Sure,Not Sure,Yes,Yes,Yes,Not Sure,Not Sure,Yes,Not Sure
Computer Science,No,No,No,No,No,No,No,No,No,Man,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Mechanical Engineering ,,,,,,,,,,Woman,Being the only one that does not know what they are doing and struggling to catch up. ,4.0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Challenger Program,Yes,Yes,Yes,Don't recall,Don't recall,No,No,No,No,Man,,,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Undecided,,,,,,,,,,Man,"It's interesting to learn about the history of coding and how it affected technology for the future, but I'm not sure how I would feel about doing future classes where we type code and solve problems because of how complicated the coding commands can be at times.",3.0,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
dont have one,,,,,,,,,,Man,"i was never really interested in computer science back when i took AP comp sci. nothing i did seemed to make sense to me, which took away hope that i would get past the class. when we started doing comp sci at the ccm, everything i did began to add up. it being easier to understand, i started to gain more interest in the subject.",4.0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Share time engineering,,,,,,,,,,Man,I enjoy this class and would take another in the future,4.0,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
